Online boarding,Type of Travel,Inflight wifi service,Class,Customer Type,Inflight entertainment,Seat comfort,Checkin service,Cleanliness,Leg room service,Departure/Arrival time convenient,Ease of Online booking,Gate location,On-board service,Food and drink,Inflight service,Baggage handling,Departure Delay in Minutes,satisfaction
3,1,3,2,0,4,4,4,4,4,4,3,2,5,4,5,4,0,0
1,0,1,2,1,5,5,2,5,1,4,1,3,3,5,2,3,2,0
5,0,1,0,0,5,5,5,5,4,1,1,1,5,5,5,5,0,1
5,0,2,0,0,5,4,4,5,5,2,4,2,5,4,5,5,9,1
1,1,2,1,0,3,3,2,3,4,3,1,1,4,3,3,5,0,0
1,0,1,0,0,1,1,2,1,3,3,3,3,4,1,4,3,3,0
4,0,4,0,1,2,2,5,2,5,4,4,2,4,2,5,4,0,0
3,0,4,2,0,5,4,4,4,4,4,4,4,3,4,4,2,202,1
2,0,2,0,0,3,2,2,1,3,1,1,1,3,1,3,2,10,0
1,1,1,1,0,4,4,1,4,4,3,1,4,1,4,4,4,0,0
2,0,4,2,0,4,3,4,1,4,2,1,2,4,2,4,4,0,0
0,0,0,1,0,2,2,3,2,2,4,0,3,2,2,2,5,71,1
2,0,2,2,0,2,2,2,2,3,4,4,4,4,2,4,3,4,0
2,1,2,1,0,2,2,5,2,3,5,2,3,3,2,4,5,0,0
5,0,0,0,0,3,5,3,4,3,0,0,4,3,4,3,3,0,1
3,1,3,1,0,2,2,2,2,1,2,3,4,2,2,4,3,40,0
3,1,2,2,0,3,3,2,3,3,3,3,4,1,3,3,4,0,0
5,0,4,0,0,4,4,5,4,4,4,4,4,4,2,4,4,0,1
5,0,5,0,0,5,4,4,3,5,5,5,5,5,2,5,5,11,1
5,1,1,1,0,4,5,4,4,1,5,1,4,4,2,4,2,0,0
5,0,2,0,0,4,2,2,1,4,2,2,2,4,3,4,4,0,1
2,0,2,0,1,4,1,1,4,1,1,1,3,2,4,2,3,15,0
2,0,2,2,1,4,4,5,4,2,2,2,3,4,4,3,2,3,0
3,0,3,1,0,3,1,2,3,2,4,4,4,4,3,3,3,0,0
5,1,2,1,0,4,4,4,3,2,5,2,1,4,2,4,4,0,0
3,0,3,1,1,3,3,1,3,3,2,3,2,1,3,2,1,0,0
2,0,2,0,1,4,3,2,4,2,2,2,1,1,4,2,1,0,0
3,1,4,1,0,4,3,3,3,3,1,4,4,1,4,4,3,0,0
5,0,2,0,1,3,5,5,5,4,3,3,3,4,2,3,4,0,0
3,0,2,0,0,2,3,3,3,2,4,4,4,2,3,2,2,0,0
4,0,3,0,0,3,3,3,3,3,5,5,5,3,1,3,3,22,0
5,0,3,0,0,5,5,5,5,5,3,3,3,5,2,5,5,24,1
5,1,2,2,0,2,1,1,5,2,5,2,4,2,5,2,2,0,0
4,0,4,0,1,2,2,4,2,3,3,3,1,5,2,4,5,0,1
0,0,1,0,1,1,1,4,1,3,0,0,3,4,1,4,5,23,0
3,0,2,0,0,2,3,1,1,2,3,2,2,2,2,2,2,0,0
4,0,3,0,0,3,3,2,1,3,3,4,3,3,4,3,3,0,0
5,0,1,0,0,5,5,5,5,5,1,1,1,3,5,5,4,0,1
3,1,1,0,0,1,4,1,2,3,2,3,4,1,3,1,1,1,0
4,0,4,1,1,1,1,5,1,4,0,4,4,3,1,1,4,0,0
4,0,1,0,0,4,4,5,4,4,1,1,1,4,2,4,4,49,1
1,0,1,0,1,3,3,3,3,4,2,2,1,4,3,4,4,54,0
5,0,1,0,0,5,4,3,4,5,1,1,1,5,3,5,5,2,1
4,1,4,2,0,3,4,3,3,2,4,4,3,3,3,4,5,0,1
3,1,3,1,0,1,1,5,1,2,4,3,3,4,1,5,5,0,0
2,1,2,1,0,2,2,5,2,4,4,2,4,5,2,4,5,0,0
4,0,1,0,0,5,5,4,3,5,1,1,1,5,5,5,5,10,1
4,0,4,0,0,5,5,5,5,5,4,4,4,5,2,5,5,46,1
1,0,3,1,0,2,1,1,1,3,5,5,5,2,2,2,2,14,0
1,0,1,1,0,1,1,4,1,5,4,4,4,3,1,3,2,124,0
5,0,2,0,0,4,4,3,4,5,2,2,2,4,3,4,4,22,1
5,1,5,1,0,3,4,4,3,2,5,2,1,3,2,3,3,0,1
0,0,0,0,1,5,4,5,5,3,0,0,1,5,5,4,5,3,1
3,0,3,0,1,4,5,3,4,4,3,3,1,3,4,4,4,60,0
3,0,3,0,1,4,4,3,4,2,3,3,3,4,4,5,4,0,0
4,0,4,0,0,5,4,4,4,4,4,4,4,5,4,4,4,119,1
3,1,3,1,0,3,3,3,3,3,2,3,2,2,3,3,2,88,0
4,1,4,2,0,5,2,4,5,3,5,4,4,5,5,4,5,47,0
3,1,3,0,0,2,3,1,1,4,2,4,3,2,3,2,2,9,0
3,0,3,0,1,1,5,2,1,5,3,3,2,3,1,2,2,0,0
4,1,4,1,0,2,4,2,2,4,4,4,5,2,3,2,2,0,0
5,0,5,0,0,4,5,3,3,5,5,2,5,4,2,4,4,0,1
2,1,2,1,0,2,2,3,2,1,2,2,3,3,2,4,3,0,0
5,0,5,1,0,5,4,3,5,5,2,2,2,3,5,1,2,0,1
5,0,5,0,0,5,5,3,5,4,5,5,5,5,5,4,4,10,1
4,0,1,0,0,4,4,3,5,4,1,1,1,4,5,4,4,8,1
4,0,5,0,0,4,4,4,5,4,5,5,5,4,4,4,4,29,1
2,1,4,0,0,3,3,4,3,4,0,4,4,3,2,3,3,0,0
5,0,4,0,0,5,5,4,5,3,4,5,4,3,5,2,4,0,1
0,1,1,1,0,5,5,4,5,5,4,0,2,3,5,5,5,0,0
5,1,2,1,0,4,5,3,3,2,4,2,2,4,2,4,4,0,0
2,0,2,0,1,1,1,5,1,2,2,2,3,4,1,5,3,0,0
5,0,5,1,0,5,5,2,5,5,2,2,2,3,5,2,2,0,1
2,1,2,2,0,1,1,2,1,3,5,2,1,3,1,1,3,0,0
1,1,1,2,0,2,2,3,2,4,4,1,4,4,2,5,4,2,0
4,1,1,1,0,3,5,3,3,2,5,2,2,3,5,3,3,0,0
5,0,2,0,0,4,4,3,4,4,2,2,2,4,2,4,4,5,1
4,0,5,0,0,5,4,2,3,4,1,1,1,5,4,5,5,0,0
5,0,5,1,0,5,5,1,5,5,5,4,4,5,5,5,5,12,1
3,1,3,2,0,2,2,5,2,5,5,3,4,4,2,5,5,69,0
2,0,2,0,1,3,4,3,3,3,2,2,3,4,3,4,4,0,0
4,1,4,1,0,4,4,5,4,2,4,4,4,3,4,5,5,0,0
1,0,1,0,1,5,5,4,5,2,4,1,3,3,5,4,4,0,0
5,0,2,0,0,5,5,3,3,5,2,2,2,5,2,5,5,9,1
4,0,5,0,0,4,5,4,5,4,5,5,5,4,5,4,4,36,1
4,0,1,0,0,3,5,5,3,4,1,1,1,3,5,3,3,0,1
2,0,5,0,0,5,1,3,3,4,5,5,5,5,1,5,5,0,1
4,0,4,0,1,2,2,4,2,3,4,4,2,3,2,5,4,0,1
2,1,2,0,0,5,5,2,5,4,1,2,3,1,5,3,3,15,0
4,0,5,1,0,5,5,4,5,5,5,5,5,2,5,1,3,3,1
3,0,3,0,1,5,5,4,5,2,3,3,5,5,5,5,5,0,0
3,1,4,1,0,4,4,4,4,2,2,3,3,2,4,2,3,19,0
3,0,3,1,1,1,1,1,1,1,3,3,3,1,1,3,3,53,0
3,0,2,0,0,2,2,3,4,2,3,3,3,2,1,2,2,0,0
4,0,1,0,0,4,5,5,5,4,1,4,1,4,5,4,4,0,1
3,1,3,1,0,5,5,3,5,1,3,3,3,1,5,3,3,72,0
2,0,2,1,0,2,2,1,2,5,4,4,4,2,2,3,3,0,0
3,1,3,1,0,5,5,4,5,1,2,3,4,1,5,3,4,0,0
0,1,4,1,0,5,5,5,5,5,4,0,3,3,5,3,5,0,1
4,0,2,0,0,4,4,5,5,4,2,2,2,4,4,4,4,0,1
1,0,2,1,1,3,3,3,3,3,4,1,4,1,3,3,3,17,0
3,0,3,1,1,5,5,2,5,1,0,3,4,2,5,4,5,0,0
4,0,1,0,0,5,4,4,4,5,1,1,1,2,4,5,4,0,1
4,1,2,1,0,4,3,3,2,2,4,2,3,4,2,4,4,0,0
3,0,3,0,1,2,2,4,2,4,4,3,3,4,2,5,5,0,0
5,0,5,1,0,4,5,2,1,5,1,1,1,4,5,4,4,117,1
5,1,2,1,0,4,4,5,5,2,4,2,4,4,4,4,4,0,0
3,0,3,1,1,5,5,2,5,1,3,3,3,2,5,3,3,2,0
2,1,3,1,0,2,2,5,2,2,3,2,4,1,2,5,2,0,0
5,0,4,0,0,2,4,3,3,2,4,4,4,2,5,2,2,2,1
2,1,2,1,0,5,5,1,5,4,5,2,3,3,5,4,1,18,0
3,1,3,2,0,1,1,3,1,4,4,3,1,3,1,5,4,21,0
4,0,4,1,0,4,3,4,4,5,1,1,1,4,4,2,3,15,1
3,0,1,0,0,5,4,1,2,5,1,1,1,5,5,5,5,0,1
4,0,5,0,0,4,5,4,4,4,5,5,5,4,3,4,4,0,1
3,1,3,1,0,2,2,3,2,3,5,3,5,5,2,4,4,62,0
5,1,5,1,0,4,1,5,4,2,4,5,2,3,4,4,5,0,1
5,0,3,0,0,4,5,3,5,4,3,3,3,4,5,4,4,14,1
1,0,2,0,0,5,5,3,3,5,2,2,2,5,5,5,5,0,1
2,1,2,1,0,5,5,1,5,3,2,2,4,1,5,3,4,0,0
1,1,3,1,0,5,1,1,1,4,4,3,1,5,3,3,4,183,0
4,0,2,0,0,4,4,4,3,4,2,4,2,4,3,4,4,0,1
2,0,2,1,1,4,4,3,4,5,3,2,3,1,4,4,4,0,0
3,0,2,1,0,2,4,3,3,2,4,4,4,2,2,2,2,19,0
5,1,4,2,0,4,4,4,3,4,4,4,4,4,3,4,4,0,0
5,0,2,0,0,4,5,5,5,5,2,2,2,3,5,3,4,179,1
3,1,5,1,0,3,3,3,3,3,4,5,4,4,5,4,5,0,1
5,0,3,0,0,5,5,3,5,4,3,3,3,3,5,4,5,16,1
3,0,3,1,1,1,1,4,1,5,3,3,1,2,1,2,1,0,0
5,0,1,0,0,4,4,5,4,4,1,1,1,4,2,4,4,0,1
1,1,1,2,0,2,2,5,2,3,3,1,2,3,2,3,1,35,0
0,0,5,1,1,3,3,3,3,5,0,5,1,3,3,4,5,5,1
1,1,1,1,0,2,2,3,2,4,1,1,2,4,2,2,2,0,0
3,0,3,1,1,2,2,3,2,1,5,3,3,4,2,5,1,0,0
2,1,2,1,0,5,5,2,5,3,4,2,4,1,5,4,4,0,0
3,1,1,1,0,2,4,4,4,1,4,1,2,2,3,2,2,33,0
4,0,0,0,0,5,5,4,4,5,4,0,1,5,3,5,5,0,1
4,1,4,1,0,3,3,4,3,3,4,4,4,3,3,5,5,22,0
4,0,4,1,0,4,4,5,4,1,3,3,3,2,4,2,2,0,1
3,0,3,0,1,2,2,3,2,3,3,3,3,4,2,4,4,0,0
2,1,2,1,0,4,4,5,4,3,5,2,2,3,4,5,5,0,0
4,0,4,1,0,4,4,1,4,3,5,5,5,2,4,5,1,0,1
5,1,2,1,0,5,4,5,3,3,4,3,3,5,5,5,5,6,0
4,0,3,1,1,4,4,4,4,1,3,4,4,3,4,5,2,4,0
4,0,4,0,0,4,5,3,3,4,4,1,4,4,4,4,4,0,1
4,0,2,0,0,5,3,3,1,5,2,2,2,5,1,5,5,0,1
2,1,2,1,0,1,1,5,1,5,4,2,3,3,1,5,5,0,0
5,0,4,0,0,5,4,4,4,5,4,4,4,5,5,5,5,0,1
1,0,4,1,0,4,4,4,5,4,4,4,4,4,1,4,4,0,1
4,1,4,2,0,3,2,1,3,2,0,4,4,3,3,4,3,2,0
1,0,1,1,1,4,4,2,4,5,0,1,5,2,4,1,1,0,0
3,0,3,0,1,4,5,5,4,3,3,3,2,3,4,4,3,0,0
3,1,3,1,0,4,3,1,4,4,5,3,2,4,4,3,5,34,0
1,0,1,0,1,4,4,3,4,4,1,1,4,4,4,5,4,0,0
3,1,3,1,0,1,4,4,5,3,4,3,4,1,3,1,1,0,0
3,1,3,1,0,5,5,3,5,4,2,3,4,3,5,3,2,0,0
4,0,5,0,0,5,4,3,3,5,5,5,5,5,2,5,5,11,1
1,0,1,1,1,5,4,4,5,1,1,1,3,3,5,3,3,1,0
4,0,4,0,0,5,5,4,3,5,4,4,4,5,2,5,5,0,1
2,0,2,1,1,1,2,2,2,4,2,2,4,3,2,2,4,355,0
2,0,3,0,0,5,1,2,1,5,3,3,3,5,5,5,5,5,1
5,0,5,0,0,5,4,4,3,5,5,5,5,5,5,5,5,4,1
3,0,3,1,0,3,3,4,3,4,3,3,3,2,3,4,4,8,0
3,0,3,0,0,4,4,1,5,4,3,3,3,4,5,4,4,7,1
1,1,1,0,0,2,2,3,2,5,4,1,1,5,2,4,5,33,0
2,1,2,1,0,5,5,3,5,2,4,2,2,5,5,5,5,23,0
5,0,1,0,0,5,5,3,5,5,1,1,1,3,5,4,5,97,1
4,0,2,0,0,5,5,3,5,5,2,2,2,5,4,5,5,0,1
4,0,4,1,1,4,4,4,4,1,4,4,5,3,4,2,3,51,1
2,0,2,0,0,1,2,2,2,2,1,1,1,3,2,3,3,0,0
5,0,3,0,0,4,4,5,3,5,2,3,3,4,5,4,4,0,1
4,0,1,0,0,5,4,3,4,4,3,1,1,5,2,5,5,74,1
4,0,1,0,0,5,4,3,3,5,1,1,1,5,3,5,5,23,1
2,0,3,0,0,5,2,1,3,5,3,3,3,5,2,5,5,0,1
4,1,2,1,0,2,4,5,3,1,4,1,2,2,3,2,2,0,0
4,0,3,0,0,1,3,4,2,1,1,1,1,1,1,1,3,119,0
3,0,3,0,0,1,3,3,3,3,5,5,5,1,3,4,3,160,0
2,1,2,1,0,5,5,5,5,5,4,2,3,3,5,4,4,0,0
5,0,2,0,0,5,4,3,3,5,2,2,2,5,4,5,5,0,1
4,1,4,1,0,2,2,2,2,3,5,4,4,1,2,4,2,0,1
3,1,2,1,0,5,3,3,3,5,5,2,4,4,2,3,5,211,0
4,1,4,1,0,3,3,3,3,1,4,4,4,2,3,4,4,8,0
4,0,4,0,0,5,4,3,3,5,4,4,4,5,3,5,5,6,1
4,0,4,0,1,5,4,4,5,5,4,4,3,4,5,4,5,17,0
5,0,0,0,0,3,4,4,3,3,0,0,5,3,4,3,3,0,1
4,0,4,0,0,4,4,2,4,4,1,1,1,1,4,3,4,0,0
5,0,4,0,0,5,5,5,5,2,4,4,4,4,5,5,4,14,1
4,0,2,0,0,3,4,3,3,3,1,1,1,3,3,3,2,0,0
4,0,4,0,0,3,3,3,3,2,4,4,4,5,3,4,4,0,1
3,0,3,1,0,3,3,1,3,3,3,3,3,4,3,3,3,1,0
5,0,1,0,0,4,3,1,1,4,1,1,1,4,5,4,4,16,1
5,0,3,0,0,5,5,3,4,5,3,3,3,5,5,5,5,22,1
1,0,1,1,1,3,2,3,3,5,3,1,4,2,3,3,3,0,0
4,0,2,0,0,4,4,4,3,4,2,2,2,4,5,4,5,0,1
4,0,3,0,0,4,5,5,4,4,3,3,3,4,2,4,4,46,1
3,1,1,2,0,3,3,1,4,0,3,0,3,3,4,3,3,31,0
3,1,3,1,0,5,5,3,5,2,1,3,3,2,5,4,3,7,0
5,0,3,0,0,3,5,4,3,4,3,5,3,3,2,3,3,11,1
3,0,0,0,0,4,5,3,5,5,4,0,4,4,2,4,5,0,1
2,1,2,1,0,4,4,3,4,2,4,2,3,3,4,5,4,6,0
4,1,4,1,0,3,3,3,3,5,4,4,3,4,3,4,5,0,0
1,1,1,1,0,4,4,2,4,3,1,1,3,3,4,3,2,0,0
4,0,3,0,0,4,5,3,5,4,3,5,3,4,2,4,4,0,1
4,1,3,0,0,2,4,4,4,3,1,3,4,2,1,2,2,0,0
4,0,4,0,0,3,4,4,4,5,4,4,4,2,4,3,4,154,1
5,0,5,0,0,5,4,5,5,5,5,5,5,5,5,5,5,0,1
4,1,4,0,0,3,5,5,4,4,5,4,1,3,3,3,3,0,1
5,0,3,0,0,5,5,4,4,5,3,3,3,5,4,5,5,1,1
2,1,3,0,0,3,4,2,2,3,3,3,4,3,4,3,3,0,0
5,0,2,0,0,5,4,4,5,5,2,2,2,5,3,5,5,16,1
5,0,5,0,1,5,5,5,5,3,0,5,2,3,5,5,5,17,1
4,0,1,0,0,5,4,3,3,5,1,1,1,5,5,5,5,0,1
5,0,2,0,0,5,5,5,4,5,2,2,2,5,2,5,5,0,1
4,0,5,0,0,4,4,5,3,4,5,5,5,4,5,4,4,0,1
1,0,4,0,1,5,5,5,5,5,0,4,3,5,4,3,4,293,1
4,0,5,0,0,4,5,3,5,4,5,5,5,4,4,4,4,0,1
3,1,4,1,0,3,2,2,3,4,2,3,4,2,3,3,4,77,0
4,0,4,1,0,4,3,4,4,2,2,2,2,1,4,4,4,0,0
4,0,5,0,0,4,4,3,5,4,5,5,5,4,2,4,4,0,1
5,1,5,1,0,2,2,3,2,2,4,5,1,5,2,4,4,0,1
4,0,2,0,0,4,4,1,4,3,2,2,2,1,4,4,3,0,1
4,0,2,0,0,1,4,1,1,1,3,3,3,1,2,1,2,0,0
5,0,3,0,0,5,5,5,5,3,3,3,3,3,5,4,4,8,1
2,0,3,0,1,2,2,1,2,3,2,2,3,1,2,4,4,0,0
4,0,5,0,0,4,5,4,3,4,5,5,5,4,4,4,4,9,1
3,0,3,1,1,1,1,5,1,4,4,3,2,5,1,2,2,0,0
3,1,3,1,0,4,5,3,5,3,4,3,1,4,5,4,4,0,0
3,0,3,0,1,2,2,5,2,4,3,3,4,3,2,5,4,36,0
1,0,1,0,0,1,1,1,1,3,1,1,1,2,1,3,4,20,0
3,1,3,1,0,1,1,4,1,2,5,3,2,3,1,4,5,2,0
3,1,3,1,0,5,5,1,5,1,5,3,4,1,5,2,5,0,0
4,1,2,1,0,2,4,5,4,2,5,2,2,2,3,2,2,82,0
5,0,4,0,0,5,5,2,5,2,4,1,4,3,5,5,4,2,1
2,1,3,1,0,1,1,3,1,3,1,2,3,3,1,2,3,15,0
0,0,1,1,1,4,4,2,4,5,0,0,5,5,4,2,2,0,0
3,0,3,1,1,1,1,4,1,5,3,3,3,2,1,4,3,0,0
1,0,5,0,0,5,4,2,1,5,5,5,5,5,4,5,5,0,1
4,0,2,0,0,4,4,4,5,4,2,2,2,4,5,4,4,0,1
5,0,1,0,0,5,5,5,5,3,1,1,1,3,5,4,4,0,1
4,0,4,0,1,1,1,5,1,3,4,4,4,4,1,5,4,7,0
4,0,3,0,0,3,4,3,1,3,5,2,2,3,2,3,3,0,0
5,0,1,0,0,4,4,3,4,4,1,1,1,4,2,4,4,0,1
2,0,1,1,1,2,2,4,2,3,2,2,3,3,2,3,3,13,0
4,1,2,1,0,4,4,3,4,4,4,4,2,3,4,5,4,0,0
5,0,1,0,0,4,5,4,4,4,1,1,1,4,4,4,4,0,1
4,1,4,1,0,1,4,3,3,4,5,4,3,1,4,1,1,0,0
4,1,4,1,0,4,4,5,4,5,4,4,1,4,4,4,4,0,1
5,0,2,0,0,4,4,4,3,4,2,2,2,4,3,4,4,0,1
3,0,4,0,0,4,2,1,2,4,3,3,3,4,1,4,4,0,0
2,1,2,0,0,3,1,1,2,2,3,2,4,3,5,3,3,30,0
2,0,4,2,0,4,4,4,4,4,4,4,4,4,5,4,4,0,1
2,0,2,0,1,5,5,5,5,4,2,2,5,3,5,4,4,20,1
2,1,2,2,0,5,5,2,5,2,2,2,4,4,5,4,4,0,0
4,0,2,0,0,5,4,4,4,5,2,2,2,5,5,5,5,6,1
4,0,4,1,0,4,4,3,4,1,2,2,2,1,4,4,3,0,0
5,0,4,0,0,4,5,4,4,4,4,4,4,4,3,4,4,0,1
1,0,2,1,1,1,1,4,1,5,1,1,4,1,1,4,3,8,0
1,0,2,1,1,5,5,4,5,5,0,1,1,1,5,3,2,42,0
4,0,3,0,0,5,5,3,5,2,3,3,3,5,5,5,4,0,1
5,0,5,1,0,5,5,4,5,2,5,5,5,5,5,4,3,25,1
4,0,5,0,0,4,4,3,4,3,5,2,5,5,4,4,3,1,1
4,1,4,1,0,2,2,5,2,3,5,4,5,4,2,4,5,27,0
2,0,2,0,0,2,2,3,2,1,1,4,1,3,2,4,4,0,0
3,1,3,1,0,3,3,3,3,3,4,3,4,2,3,5,2,0,0
3,1,3,1,0,5,5,5,5,5,5,3,5,2,5,4,1,0,0
1,1,1,1,0,2,2,3,2,3,5,1,2,4,2,4,4,0,0
4,0,5,0,0,4,4,5,4,3,5,5,5,3,4,5,4,0,1
2,1,3,1,0,3,2,2,2,3,5,3,2,1,3,5,4,154,0
2,0,2,0,0,4,2,2,2,4,2,2,2,4,2,4,5,0,1
1,0,2,1,0,2,2,1,2,2,5,4,5,3,2,3,3,2,0
3,0,3,1,0,3,3,3,3,4,1,1,1,5,3,3,4,156,0
4,0,3,0,0,3,4,2,4,3,1,1,1,3,3,3,3,0,0
1,1,1,1,1,2,2,3,2,5,1,1,4,2,2,3,3,5,0
1,1,1,1,0,4,4,2,4,1,3,1,4,1,4,4,4,0,0
3,1,3,1,0,5,5,4,5,4,4,3,4,5,5,4,4,86,0
3,0,3,0,0,3,3,1,3,3,3,3,3,3,3,5,2,6,1
5,0,3,0,0,5,5,4,3,5,3,3,3,5,5,5,5,0,1
4,0,0,0,0,5,5,5,3,5,5,1,2,5,3,5,5,0,1
1,0,1,1,1,1,1,4,1,4,1,1,3,2,1,4,4,0,0
1,1,1,1,0,1,1,2,1,3,2,1,4,4,1,4,3,3,0
2,0,2,0,0,2,2,1,4,2,1,5,5,2,2,2,2,16,0
1,1,2,1,0,5,4,4,5,5,5,1,1,4,5,5,4,0,0
2,0,2,1,1,3,3,1,3,5,2,2,1,3,3,4,1,27,0
2,1,2,1,0,4,4,3,4,5,5,2,1,5,4,4,5,1,0
1,1,1,1,0,5,5,4,5,2,5,1,2,5,5,4,4,0,0
1,0,3,0,0,3,3,1,4,3,1,1,1,3,2,3,3,0,0
5,1,5,1,0,2,2,4,2,5,5,5,4,3,2,5,4,2,1
5,0,2,0,0,4,4,5,3,4,2,2,2,4,2,4,4,51,1
4,0,5,0,0,3,4,4,4,3,5,5,5,3,5,3,3,4,1
5,0,5,0,0,5,5,5,5,2,5,5,5,1,5,4,4,1,1
2,0,2,0,0,2,2,1,2,4,1,5,5,4,2,4,3,1,0
3,0,1,0,0,1,4,2,2,1,1,1,1,1,3,1,1,0,0
4,1,3,1,0,3,4,3,5,3,4,3,5,3,4,3,3,0,0
2,0,2,2,0,2,2,2,2,5,1,1,1,2,2,3,3,20,0
2,0,2,0,0,2,2,3,2,3,1,1,1,3,2,4,3,89,0
3,1,2,0,0,3,3,4,3,3,5,3,1,5,3,4,4,0,0
1,1,2,1,0,5,5,4,5,3,4,1,4,1,5,3,3,3,0
5,0,1,0,0,5,3,5,5,5,1,1,1,5,4,5,5,0,1
4,0,5,0,0,5,4,2,1,5,5,5,5,5,2,5,5,13,1
4,1,3,2,0,2,2,3,2,3,3,4,3,4,2,3,4,56,0
1,1,1,1,0,5,5,3,5,3,2,1,4,2,5,4,4,2,0
2,0,2,1,0,2,2,2,2,3,4,4,4,4,2,4,4,92,0
4,1,4,1,0,5,5,2,5,1,3,4,4,4,5,5,2,30,1
3,1,3,1,0,3,3,4,3,2,4,3,3,4,3,4,5,0,0
4,0,4,2,0,4,3,1,4,1,5,5,5,2,4,5,1,0,1
5,0,2,0,0,2,5,5,3,2,2,2,2,2,3,2,2,0,1
5,0,2,0,0,4,5,4,4,4,2,2,2,4,2,4,4,8,1
2,1,2,2,0,5,5,1,5,4,2,2,3,4,5,4,4,8,0
5,0,1,0,0,4,5,3,5,4,5,1,1,4,4,4,4,0,1
4,1,4,1,0,1,4,4,3,4,4,4,4,1,3,1,1,0,1
1,0,2,0,0,4,2,3,1,4,2,2,2,4,5,4,4,0,1
5,1,2,1,0,2,4,4,3,2,4,2,4,2,2,2,2,45,0
4,0,2,0,0,2,4,1,4,2,4,4,4,2,2,2,2,0,0
3,0,3,0,1,5,5,4,5,2,3,3,4,4,5,4,3,1,0
2,0,2,1,0,2,2,1,2,1,5,5,5,2,2,4,3,0,0
0,0,0,1,1,2,2,2,2,5,0,0,3,2,2,5,3,0,1
1,1,1,1,0,3,3,4,3,4,4,1,1,3,3,4,5,3,0
3,1,3,1,0,3,3,4,3,5,5,3,2,3,3,5,5,0,0
0,1,1,1,0,5,5,4,5,1,2,0,3,4,5,3,3,50,0
1,1,1,0,0,1,1,3,1,2,5,1,4,4,1,5,5,8,0
4,0,3,1,0,4,4,2,4,3,3,3,3,4,4,4,4,0,0
0,0,5,0,1,1,5,3,1,2,0,5,1,5,1,5,5,74,1
0,0,0,0,1,5,5,5,5,5,0,0,5,5,5,5,5,1,1
5,0,3,0,0,5,5,3,5,2,3,3,3,5,5,5,2,0,1
2,0,3,1,1,3,3,3,3,4,4,2,3,4,3,4,4,42,0
4,0,4,1,1,2,5,1,2,1,4,4,1,3,2,5,5,8,1
4,0,3,0,0,3,3,1,1,4,2,2,2,3,1,3,3,0,0
1,0,1,1,1,5,5,3,5,1,1,1,4,1,5,4,3,0,0
3,0,2,0,0,2,4,2,4,1,5,5,5,2,2,2,2,0,0
5,1,4,1,0,4,4,3,3,4,4,4,2,4,4,4,4,0,0
3,1,3,1,0,3,3,1,3,1,3,3,3,2,3,4,3,22,0
3,1,0,2,0,2,3,5,5,0,4,0,3,2,5,2,2,0,1
3,0,3,1,0,3,3,2,3,5,3,3,3,2,3,4,3,19,0
4,0,2,1,0,1,4,3,3,2,2,2,2,1,5,1,1,20,0
4,0,5,0,0,5,4,5,5,5,5,5,5,5,3,5,5,0,1
5,0,2,0,0,4,5,3,3,4,2,2,2,4,2,4,4,0,1
4,0,3,1,0,3,3,1,3,5,1,1,1,2,3,4,4,0,0
4,0,3,0,0,4,4,4,4,4,3,3,3,3,4,3,5,6,1
3,0,2,0,0,2,3,2,4,2,2,2,2,2,3,2,2,0,0
4,0,4,0,0,4,4,3,4,5,4,4,4,5,4,2,1,0,1
4,1,2,2,0,4,4,3,5,2,5,2,4,4,2,4,4,0,0
5,0,2,0,0,4,4,5,3,4,2,2,2,4,2,4,4,4,1
0,1,5,1,0,4,4,3,4,2,2,0,4,1,4,4,3,1,1
5,0,5,0,1,5,4,3,5,4,5,5,4,4,5,5,5,0,1
5,0,3,0,0,5,5,5,5,5,3,4,3,5,2,5,5,82,1
4,0,4,1,0,4,4,2,4,4,5,5,5,2,4,3,4,4,0
4,1,2,1,0,2,4,5,4,3,5,3,3,2,2,2,2,32,0
2,0,2,1,1,1,1,1,1,1,2,2,3,3,1,3,2,0,0
5,0,1,0,0,3,4,3,4,4,1,1,1,3,2,3,3,0,1
5,0,5,0,0,4,5,4,3,4,5,5,5,4,4,4,4,0,1
4,0,5,0,0,4,5,5,5,4,5,5,5,4,3,4,4,17,1
5,0,5,1,0,5,5,5,5,5,2,2,2,4,5,2,5,0,1
3,1,3,1,0,5,5,2,5,2,1,3,3,3,5,4,3,5,0
4,0,1,0,0,5,4,4,3,5,1,5,1,5,2,5,5,0,1
3,1,3,1,0,4,3,3,3,4,2,3,4,5,3,3,4,154,0
3,0,3,1,1,4,4,4,4,1,3,3,2,4,4,3,3,72,0
4,0,4,1,0,4,3,3,4,5,1,1,1,4,4,3,4,37,0
5,0,1,0,0,4,5,5,4,4,1,1,1,4,3,4,4,0,1
3,1,3,1,0,3,3,4,3,2,1,3,3,2,3,2,2,3,0
2,0,2,1,1,5,5,4,5,4,1,2,3,2,5,3,3,0,0
3,1,3,1,0,1,1,5,1,5,5,3,5,5,1,3,1,0,0
3,0,3,1,0,2,2,2,2,1,2,2,2,2,2,4,3,0,0
2,0,4,1,0,4,1,3,5,4,4,4,4,4,1,4,4,0,1
4,1,4,1,0,5,1,3,5,5,4,4,1,5,5,4,4,0,1
