,Unnamed: 0,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
37904,37904,64250,Female,Loyal Customer,52,Personal Travel,Eco,1660,4,4,4,2,2,4,5,5,5,4,5,3,5,5,0,15.0,neutral or dissatisfied
102162,102162,9167,Male,Loyal Customer,47,Business travel,Business,3644,2,2,2,2,2,5,4,2,2,2,2,4,2,5,0,0.0,satisfied
20597,20597,75784,Female,Loyal Customer,46,Personal Travel,Eco,868,0,4,0,4,5,1,3,1,1,0,1,2,1,4,0,0.0,satisfied
85691,85691,38810,Female,Loyal Customer,14,Personal Travel,Eco,354,1,4,1,2,5,1,5,5,3,4,5,5,5,5,39,37.0,neutral or dissatisfied
78817,78817,123590,Male,Loyal Customer,42,Personal Travel,Eco,1773,3,3,3,3,5,3,5,5,4,2,3,3,4,5,0,0.0,neutral or dissatisfied
90913,90913,29930,Male,Loyal Customer,8,Business travel,Business,571,2,2,5,2,5,5,5,5,1,3,4,5,1,5,0,0.0,satisfied
80489,80489,4663,Female,Loyal Customer,29,Business travel,Business,2299,3,3,5,3,4,4,4,4,4,4,4,3,5,4,0,3.0,satisfied
81527,81527,106505,Male,Loyal Customer,55,Business travel,Eco Plus,495,3,2,5,2,2,3,2,2,4,1,3,1,3,2,0,0.0,neutral or dissatisfied
42025,42025,26957,Female,Loyal Customer,40,Business travel,Business,1717,5,5,5,5,2,5,5,4,4,4,4,3,4,3,0,0.0,satisfied
79736,79736,24126,Male,Loyal Customer,26,Personal Travel,Eco,584,3,5,3,2,1,3,1,1,3,5,5,3,5,1,0,0.0,neutral or dissatisfied
45388,45388,128330,Male,Loyal Customer,41,Business travel,Business,3575,1,1,1,1,2,5,5,5,5,5,5,4,5,3,68,66.0,satisfied
59767,59767,95963,Female,Loyal Customer,55,Business travel,Business,3252,3,3,3,3,2,4,5,5,5,4,5,5,5,4,12,0.0,satisfied
60515,60515,24312,Male,Loyal Customer,47,Personal Travel,Eco Plus,151,1,5,1,5,1,1,1,1,4,2,4,4,4,1,19,12.0,neutral or dissatisfied
15744,15744,46220,Female,Loyal Customer,48,Business travel,Business,3804,3,3,3,3,2,5,2,4,4,4,4,2,4,4,0,4.0,satisfied
32992,32992,65452,Female,Loyal Customer,59,Business travel,Business,2216,3,3,3,3,5,5,5,4,4,4,4,3,4,3,0,0.0,satisfied
54875,54875,44634,Female,disloyal Customer,25,Business travel,Eco,67,3,0,2,4,4,2,4,4,2,3,5,4,1,4,0,1.0,neutral or dissatisfied
29564,29564,49798,Female,disloyal Customer,54,Business travel,Eco,156,5,0,5,5,4,5,4,4,3,3,1,4,3,4,0,0.0,satisfied
68321,68321,120330,Male,Loyal Customer,50,Business travel,Business,268,2,2,2,2,5,5,5,5,5,5,5,3,5,4,16,13.0,satisfied
19872,19872,79092,Female,Loyal Customer,54,Personal Travel,Eco,331,2,5,2,1,4,4,4,3,3,2,3,5,3,3,28,17.0,neutral or dissatisfied
85558,85558,114530,Male,Loyal Customer,29,Personal Travel,Business,373,2,4,2,3,3,2,3,3,4,1,4,1,2,3,0,0.0,neutral or dissatisfied
40708,40708,112618,Female,Loyal Customer,37,Personal Travel,Eco,602,5,3,4,4,3,4,3,3,5,3,5,5,5,3,0,0.0,satisfied
21405,21405,103598,Female,disloyal Customer,27,Business travel,Business,405,0,0,0,3,2,0,2,2,3,5,4,3,4,2,6,7.0,satisfied
81941,81941,77713,Female,Loyal Customer,37,Business travel,Business,3631,3,2,2,2,1,2,2,3,3,3,3,1,3,1,25,10.0,neutral or dissatisfied
14827,14827,12100,Female,Loyal Customer,28,Business travel,Eco,1034,3,4,4,4,3,4,3,3,3,1,3,1,4,3,86,69.0,satisfied
43938,43938,114026,Female,disloyal Customer,25,Business travel,Eco Plus,1750,2,3,2,3,2,2,2,2,1,3,2,3,4,2,6,3.0,neutral or dissatisfied
13751,13751,10102,Female,Loyal Customer,39,Business travel,Business,1656,1,1,1,1,3,4,5,4,4,4,4,3,4,5,0,0.0,satisfied
71110,71110,83457,Male,Loyal Customer,28,Business travel,Business,2151,5,5,5,5,4,4,4,4,3,4,5,5,4,4,11,22.0,satisfied
53395,53395,26624,Male,Loyal Customer,46,Business travel,Business,581,3,3,3,3,5,4,5,5,5,5,5,1,5,2,0,0.0,satisfied
8895,8895,58277,Female,Loyal Customer,38,Business travel,Business,2946,4,4,4,4,3,5,4,5,5,5,5,4,5,5,0,0.0,satisfied
55059,55059,42975,Male,Loyal Customer,40,Business travel,Business,1869,4,4,4,4,3,1,4,4,4,4,4,2,4,1,14,3.0,satisfied
17545,17545,25301,Female,Loyal Customer,22,Business travel,Business,432,2,2,2,2,4,4,4,4,3,2,2,5,4,4,0,0.0,satisfied
2413,2413,48571,Male,Loyal Customer,9,Personal Travel,Eco,853,1,3,1,3,3,1,3,3,2,1,1,1,4,3,39,36.0,neutral or dissatisfied
80599,80599,78586,Female,Loyal Customer,54,Personal Travel,Eco,630,2,5,2,5,5,3,4,1,1,2,1,3,1,2,42,48.0,neutral or dissatisfied
66174,66174,100550,Female,Loyal Customer,50,Personal Travel,Eco Plus,580,4,5,4,3,2,3,5,4,4,4,4,3,4,3,32,8.0,satisfied
48225,48225,127007,Male,Loyal Customer,59,Business travel,Business,2659,5,5,5,5,4,4,5,5,5,4,5,5,5,5,0,0.0,satisfied
59246,59246,94527,Female,Loyal Customer,52,Business travel,Business,293,4,4,4,4,2,4,5,5,5,5,5,3,5,3,0,0.0,satisfied
10329,10329,40414,Male,Loyal Customer,37,Business travel,Eco,461,5,4,4,4,5,5,5,5,1,4,4,3,4,5,0,5.0,satisfied
17841,17841,14514,Female,disloyal Customer,21,Business travel,Eco Plus,328,3,4,3,4,5,3,5,5,3,3,3,3,4,5,28,18.0,neutral or dissatisfied
101186,101186,115576,Female,Loyal Customer,38,Business travel,Business,3687,4,4,4,4,5,4,5,5,5,5,5,3,5,3,6,0.0,satisfied
1955,1955,83998,Male,Loyal Customer,70,Personal Travel,Eco,321,2,5,2,5,2,2,2,2,3,2,2,5,1,2,0,0.0,neutral or dissatisfied
86194,86194,12558,Female,Loyal Customer,66,Personal Travel,Eco,871,2,3,2,3,1,4,4,5,5,2,5,2,5,4,0,0.0,neutral or dissatisfied
101701,101701,5571,Male,Loyal Customer,45,Personal Travel,Eco,501,1,3,1,4,4,1,4,4,3,3,3,5,5,4,116,86.0,neutral or dissatisfied
62020,62020,118476,Male,disloyal Customer,37,Business travel,Business,646,3,3,3,3,4,3,4,4,3,4,5,4,5,4,0,0.0,neutral or dissatisfied
47290,47290,59647,Male,Loyal Customer,15,Business travel,Eco,787,4,2,2,2,4,4,3,4,5,1,3,5,5,4,0,0.0,satisfied
16428,16428,103815,Male,Loyal Customer,41,Business travel,Business,1587,4,4,4,4,4,4,5,4,4,4,4,5,4,5,23,48.0,satisfied
102154,102154,50315,Female,Loyal Customer,35,Business travel,Business,2815,5,5,5,5,5,1,1,5,5,5,4,3,5,5,0,0.0,satisfied
69440,69440,88340,Female,Loyal Customer,45,Business travel,Business,2722,3,3,2,3,5,4,5,4,4,4,4,5,4,3,2,0.0,satisfied
41774,41774,38513,Male,Loyal Customer,39,Business travel,Business,2446,4,4,4,4,3,5,5,3,3,3,3,4,3,5,19,5.0,satisfied
1096,1096,15964,Female,Loyal Customer,17,Personal Travel,Eco,473,4,5,4,3,4,4,4,4,3,5,5,4,3,4,0,0.0,neutral or dissatisfied
57671,57671,71320,Male,disloyal Customer,27,Business travel,Eco,1514,2,2,2,3,3,2,2,3,1,1,3,1,3,3,93,131.0,neutral or dissatisfied
60530,60530,117719,Male,Loyal Customer,44,Business travel,Business,3102,3,3,3,3,5,5,4,4,4,4,4,5,4,3,41,54.0,satisfied
102956,102956,125939,Male,Loyal Customer,60,Personal Travel,Eco,920,1,4,1,4,2,1,2,2,5,2,5,1,4,2,0,0.0,neutral or dissatisfied
74129,74129,126819,Male,Loyal Customer,54,Business travel,Business,2296,2,2,2,2,2,4,5,5,5,5,5,4,5,3,0,0.0,satisfied
52736,52736,2916,Female,Loyal Customer,44,Personal Travel,Eco Plus,409,2,3,3,4,5,4,3,1,1,3,1,4,1,2,0,0.0,neutral or dissatisfied
4073,4073,26756,Female,Loyal Customer,43,Business travel,Business,3859,3,3,3,3,1,3,3,5,5,5,5,1,5,3,0,5.0,satisfied
46320,46320,111481,Female,Loyal Customer,45,Business travel,Business,1452,5,5,5,5,2,4,5,2,2,2,2,5,2,4,90,92.0,satisfied
56773,56773,71563,Male,Loyal Customer,39,Business travel,Business,3867,4,4,4,4,2,4,4,4,4,4,4,3,4,5,5,0.0,satisfied
49834,49834,16726,Female,disloyal Customer,39,Business travel,Business,1167,5,5,5,1,4,5,4,4,1,1,4,4,1,4,0,0.0,satisfied
22598,22598,11744,Male,disloyal Customer,16,Business travel,Eco,429,1,2,2,3,2,2,2,2,3,3,3,4,3,2,13,13.0,neutral or dissatisfied
90490,90490,116330,Female,Loyal Customer,20,Personal Travel,Eco,480,3,1,3,3,3,3,1,3,2,3,3,4,2,3,22,18.0,neutral or dissatisfied
9319,9319,23596,Female,Loyal Customer,52,Business travel,Business,1601,4,4,4,4,4,5,5,4,4,5,4,5,4,4,0,0.0,satisfied
65529,65529,77776,Female,Loyal Customer,40,Personal Travel,Eco,731,1,4,1,4,2,1,2,2,2,4,5,5,1,2,0,6.0,neutral or dissatisfied
28099,28099,47769,Male,Loyal Customer,37,Business travel,Business,3508,1,1,2,1,5,1,2,5,5,5,5,4,5,4,0,0.0,satisfied
2474,2474,18893,Male,disloyal Customer,38,Business travel,Eco,151,1,2,1,3,2,1,2,2,3,5,4,2,3,2,0,0.0,neutral or dissatisfied
53530,53530,68142,Female,Loyal Customer,56,Personal Travel,Eco Plus,868,3,5,3,1,5,3,3,4,4,3,4,4,4,4,0,3.0,neutral or dissatisfied
8583,8583,70464,Female,Loyal Customer,53,Business travel,Business,867,1,1,1,1,4,5,5,2,2,2,2,3,2,5,0,19.0,satisfied
16504,16504,99319,Male,Loyal Customer,38,Business travel,Business,448,2,2,2,2,5,4,3,2,2,1,2,1,2,2,123,115.0,neutral or dissatisfied
67212,67212,38713,Male,Loyal Customer,29,Personal Travel,Eco,2342,2,5,2,4,4,2,4,4,4,3,2,4,1,4,0,25.0,neutral or dissatisfied
6813,6813,42800,Male,Loyal Customer,36,Business travel,Business,3024,4,4,4,4,5,4,2,3,3,4,3,1,3,1,6,0.0,satisfied
33718,33718,65089,Male,Loyal Customer,18,Personal Travel,Eco,247,4,4,0,5,1,0,1,1,4,3,5,3,5,1,69,62.0,neutral or dissatisfied
95403,95403,30109,Female,Loyal Customer,8,Personal Travel,Eco,503,2,5,2,3,3,2,3,3,5,3,4,3,4,3,3,10.0,neutral or dissatisfied
11105,11105,92945,Female,Loyal Customer,12,Personal Travel,Eco,151,4,5,4,1,2,4,4,2,4,2,4,5,5,2,4,0.0,neutral or dissatisfied
58892,58892,63751,Male,Loyal Customer,22,Personal Travel,Eco,1660,3,1,3,3,4,3,4,4,2,5,3,4,2,4,32,22.0,neutral or dissatisfied
50923,50923,94539,Female,Loyal Customer,54,Business travel,Eco,562,3,1,5,5,5,3,3,3,3,3,3,3,3,4,17,17.0,neutral or dissatisfied
84735,84735,27693,Male,Loyal Customer,8,Personal Travel,Eco,1107,3,3,3,1,5,3,4,5,2,1,5,4,2,5,0,0.0,neutral or dissatisfied
39915,39915,53864,Female,Loyal Customer,52,Business travel,Eco,140,2,2,2,2,5,3,3,2,2,2,2,1,2,4,25,22.0,neutral or dissatisfied
80984,80984,20668,Female,Loyal Customer,16,Business travel,Business,3973,4,4,4,4,3,3,3,3,4,5,2,2,3,3,2,14.0,satisfied
80576,80576,30025,Male,Loyal Customer,33,Business travel,Business,539,4,4,4,4,5,5,5,5,2,3,1,4,4,5,0,0.0,satisfied
49792,49792,114162,Male,Loyal Customer,56,Business travel,Business,3068,1,1,1,1,5,4,5,5,5,5,5,3,5,5,1,0.0,satisfied
7555,7555,117415,Female,Loyal Customer,45,Business travel,Business,1460,5,3,5,5,3,5,5,5,5,5,5,5,5,3,4,0.0,satisfied
22613,22613,49651,Male,disloyal Customer,36,Business travel,Eco,304,2,0,1,1,5,1,5,5,1,5,2,4,3,5,42,47.0,neutral or dissatisfied
41626,41626,90575,Male,Loyal Customer,48,Business travel,Business,2263,3,3,3,3,4,4,5,5,5,5,5,5,5,4,32,21.0,satisfied
9688,9688,34740,Female,Loyal Customer,30,Business travel,Business,2984,4,4,4,4,5,5,5,5,3,4,5,4,3,5,0,0.0,satisfied
63121,63121,48589,Male,Loyal Customer,60,Personal Travel,Eco,845,2,2,2,3,2,2,2,2,4,4,4,3,3,2,1,11.0,neutral or dissatisfied
72007,72007,26040,Female,disloyal Customer,45,Business travel,Eco,432,3,0,3,4,2,3,2,2,1,1,5,3,1,2,95,82.0,neutral or dissatisfied
51721,51721,69816,Female,Loyal Customer,46,Business travel,Business,3928,2,2,2,2,1,3,2,2,2,2,2,3,2,4,14,0.0,neutral or dissatisfied
3354,3354,94325,Female,Loyal Customer,42,Business travel,Business,562,5,5,5,5,2,4,5,3,3,4,3,3,3,4,94,86.0,satisfied
95359,95359,78604,Female,Loyal Customer,55,Business travel,Business,1426,3,3,3,3,2,5,4,4,4,4,4,4,4,3,0,0.0,satisfied
99559,99559,98260,Female,Loyal Customer,59,Business travel,Business,1188,3,3,3,3,3,5,5,4,4,4,4,5,4,4,0,0.0,satisfied
85911,85911,81797,Male,Loyal Customer,55,Business travel,Business,3049,2,2,2,2,4,4,5,4,4,4,4,3,4,4,8,0.0,satisfied
38515,38515,95761,Male,Loyal Customer,14,Personal Travel,Eco,237,2,5,2,1,2,2,2,2,4,5,4,4,5,2,34,20.0,neutral or dissatisfied
50368,50368,106200,Female,disloyal Customer,23,Business travel,Eco,436,1,0,1,1,1,1,1,1,5,4,5,5,4,1,0,0.0,neutral or dissatisfied
43124,43124,53067,Male,Loyal Customer,14,Personal Travel,Eco,1208,5,1,4,2,3,4,3,3,1,2,3,3,2,3,0,0.0,satisfied
12204,12204,99900,Female,Loyal Customer,7,Personal Travel,Eco,738,3,5,3,1,5,3,5,5,4,3,4,4,5,5,0,0.0,neutral or dissatisfied
26450,26450,104138,Female,Loyal Customer,58,Personal Travel,Eco,448,5,5,5,1,3,4,5,1,1,5,1,3,1,3,0,0.0,satisfied
9917,9917,111010,Male,Loyal Customer,57,Business travel,Business,319,5,5,5,5,2,5,5,5,5,5,5,3,5,4,6,38.0,satisfied
73182,73182,111610,Female,disloyal Customer,25,Business travel,Eco,1014,1,1,1,2,3,1,3,3,5,3,5,4,5,3,0,2.0,neutral or dissatisfied
11696,11696,51927,Female,Loyal Customer,8,Personal Travel,Eco Plus,507,1,4,1,3,4,1,1,4,2,2,4,1,4,4,0,0.0,neutral or dissatisfied
59947,59947,39123,Male,Loyal Customer,36,Business travel,Business,190,4,5,4,4,4,1,4,4,4,4,4,3,4,4,0,0.0,satisfied
3853,3853,60919,Male,disloyal Customer,32,Business travel,Business,888,2,2,2,3,3,2,3,3,3,2,5,5,4,3,7,1.0,neutral or dissatisfied
89402,89402,60296,Female,Loyal Customer,52,Personal Travel,Eco,783,1,5,1,3,4,5,4,1,1,1,1,3,1,3,0,0.0,neutral or dissatisfied
28706,28706,80608,Female,Loyal Customer,28,Business travel,Business,236,3,3,3,3,4,5,4,4,4,4,5,3,4,4,0,0.0,satisfied
70286,70286,96569,Male,Loyal Customer,57,Business travel,Business,3702,0,0,0,1,2,4,4,1,1,1,1,5,1,5,6,24.0,satisfied
94232,94232,35870,Male,Loyal Customer,22,Personal Travel,Eco,1065,3,5,3,5,1,3,1,1,3,4,4,3,4,1,0,0.0,neutral or dissatisfied
52732,52732,85019,Female,disloyal Customer,17,Business travel,Eco,949,4,4,4,1,1,4,1,1,2,3,5,5,4,1,0,0.0,satisfied
42641,42641,1970,Male,Loyal Customer,28,Personal Travel,Eco,351,3,5,3,1,5,3,5,5,3,2,4,5,4,5,0,0.0,neutral or dissatisfied
11081,11081,103205,Male,Loyal Customer,63,Business travel,Business,1482,4,1,2,1,1,3,3,4,4,4,4,1,4,4,83,96.0,neutral or dissatisfied
17041,17041,93156,Female,Loyal Customer,45,Business travel,Eco,1066,3,4,4,4,1,3,4,3,3,3,3,3,3,4,19,15.0,neutral or dissatisfied
101322,101322,27309,Female,Loyal Customer,59,Business travel,Eco,697,5,1,1,1,2,4,2,5,5,5,5,1,5,2,0,0.0,satisfied
85447,85447,51069,Female,Loyal Customer,30,Personal Travel,Eco,308,3,5,3,3,2,3,2,2,5,2,5,3,4,2,0,8.0,neutral or dissatisfied
12341,12341,3254,Female,Loyal Customer,27,Business travel,Business,2295,1,1,2,1,4,4,4,4,5,2,5,4,4,4,18,15.0,satisfied
26185,26185,121359,Female,Loyal Customer,56,Personal Travel,Business,1670,1,4,1,2,2,2,5,1,1,1,1,3,1,3,0,0.0,neutral or dissatisfied
45083,45083,97489,Male,Loyal Customer,59,Business travel,Eco,756,3,3,3,3,4,3,4,4,2,4,2,2,1,4,0,0.0,neutral or dissatisfied
37525,37525,95894,Female,Loyal Customer,13,Personal Travel,Eco,580,2,4,2,4,1,2,1,1,4,2,5,5,4,1,1,0.0,neutral or dissatisfied
82736,82736,57442,Male,Loyal Customer,46,Personal Travel,Eco,1735,2,4,2,3,4,2,5,4,2,3,4,5,3,4,28,1.0,neutral or dissatisfied
30452,30452,54966,Male,Loyal Customer,41,Business travel,Business,1635,3,3,3,3,4,5,5,5,5,5,5,3,5,3,0,0.0,satisfied
26883,26883,37123,Female,Loyal Customer,52,Business travel,Business,3740,5,5,5,5,1,5,2,4,4,4,4,2,4,5,0,0.0,satisfied
80854,80854,50900,Male,Loyal Customer,18,Personal Travel,Eco,308,5,5,5,2,1,5,1,1,4,4,4,4,5,1,0,0.0,satisfied
61757,61757,123451,Female,disloyal Customer,27,Business travel,Business,2125,3,3,3,2,3,3,3,3,3,5,5,3,4,3,0,0.0,neutral or dissatisfied
18374,18374,129207,Male,Loyal Customer,46,Business travel,Business,1563,1,3,3,3,1,4,3,1,1,1,1,3,1,3,0,0.0,neutral or dissatisfied
28656,28656,110066,Male,disloyal Customer,14,Business travel,Business,1072,5,0,5,5,5,5,1,5,4,2,4,3,4,5,12,10.0,satisfied
98920,98920,45733,Female,disloyal Customer,26,Business travel,Eco,1063,3,3,3,2,5,3,4,5,2,2,1,2,2,5,0,0.0,neutral or dissatisfied
14589,14589,61406,Female,Loyal Customer,7,Personal Travel,Eco,679,2,4,2,1,4,2,1,4,3,5,5,2,5,4,16,8.0,neutral or dissatisfied
11711,11711,13711,Female,Loyal Customer,39,Business travel,Business,3199,4,4,4,4,4,5,4,2,2,2,2,4,2,5,0,0.0,satisfied
40945,40945,106316,Female,Loyal Customer,41,Business travel,Business,1857,1,1,1,1,4,5,5,4,4,4,4,4,4,5,38,22.0,satisfied
34653,34653,75258,Female,Loyal Customer,14,Personal Travel,Eco,1744,4,4,4,5,1,4,1,1,4,3,5,3,4,1,0,0.0,neutral or dissatisfied
87094,87094,96937,Male,Loyal Customer,50,Business travel,Business,794,1,1,1,1,2,4,5,5,5,5,5,3,5,5,0,0.0,satisfied
45005,45005,70681,Male,Loyal Customer,58,Personal Travel,Eco,447,1,4,1,4,2,1,1,2,4,5,1,4,2,2,4,0.0,neutral or dissatisfied
44783,44783,41055,Female,Loyal Customer,28,Business travel,Eco Plus,1086,5,4,2,4,5,5,5,5,2,2,2,4,2,5,17,7.0,satisfied
12954,12954,69462,Female,Loyal Customer,59,Personal Travel,Eco,1096,2,3,2,4,5,3,3,2,2,2,2,3,2,3,0,0.0,neutral or dissatisfied
8538,8538,87071,Female,Loyal Customer,27,Business travel,Business,3162,5,5,5,5,5,5,5,5,3,2,4,3,4,5,0,0.0,satisfied
23074,23074,107887,Female,disloyal Customer,42,Business travel,Eco Plus,228,1,1,1,3,5,1,5,5,2,2,3,1,3,5,0,0.0,neutral or dissatisfied
17539,17539,84563,Male,Loyal Customer,67,Personal Travel,Eco,2504,4,5,4,1,4,4,4,4,5,5,5,4,4,4,0,0.0,satisfied
43952,43952,74176,Female,Loyal Customer,37,Personal Travel,Eco,641,2,4,2,1,3,2,3,3,3,3,5,5,4,3,43,47.0,neutral or dissatisfied
36413,36413,93942,Female,Loyal Customer,59,Personal Travel,Eco,507,3,5,4,4,3,4,4,3,3,4,2,2,3,3,0,0.0,neutral or dissatisfied
83135,83135,102894,Female,Loyal Customer,44,Business travel,Business,2504,3,3,3,3,4,4,5,5,5,5,5,4,5,3,0,0.0,satisfied
40545,40545,116822,Male,Loyal Customer,26,Business travel,Business,2147,5,5,5,5,3,3,3,3,4,4,4,4,4,3,0,0.0,satisfied
78606,78606,78882,Female,disloyal Customer,20,Business travel,Eco,223,3,0,3,1,5,3,5,5,3,4,4,4,5,5,3,0.0,neutral or dissatisfied
2985,2985,93864,Male,Loyal Customer,58,Business travel,Business,3084,1,1,1,1,3,4,5,3,3,4,3,4,3,5,16,12.0,satisfied
51760,51760,5845,Male,Loyal Customer,51,Business travel,Business,1020,2,2,2,2,3,5,4,5,5,5,5,4,5,3,0,0.0,satisfied
28312,28312,41898,Male,Loyal Customer,53,Business travel,Eco,129,5,1,1,1,4,5,4,4,4,3,4,2,1,4,0,0.0,satisfied
97707,97707,80249,Male,Loyal Customer,70,Personal Travel,Eco,1269,1,1,1,2,1,1,1,1,3,1,1,1,2,1,0,0.0,neutral or dissatisfied
72308,72308,30755,Female,Loyal Customer,11,Personal Travel,Eco,977,1,4,1,4,3,1,3,3,3,5,5,3,4,3,0,13.0,neutral or dissatisfied
27705,27705,65489,Female,Loyal Customer,68,Personal Travel,Eco,1067,2,4,2,4,2,4,5,3,3,2,3,5,3,3,120,110.0,neutral or dissatisfied
14377,14377,2157,Female,Loyal Customer,42,Business travel,Business,2393,1,1,3,1,3,5,4,4,4,4,4,5,4,5,0,21.0,satisfied
38312,38312,2937,Male,Loyal Customer,31,Business travel,Business,2939,2,2,2,2,2,3,2,2,4,5,4,4,4,2,14,11.0,satisfied
63413,63413,22699,Female,Loyal Customer,61,Business travel,Business,3395,2,2,2,2,1,2,3,4,4,4,4,4,4,5,0,0.0,satisfied
30788,30788,72022,Female,Loyal Customer,62,Business travel,Business,3784,2,2,2,2,5,5,5,4,2,5,4,5,3,5,260,279.0,satisfied
56249,56249,9659,Male,disloyal Customer,48,Business travel,Business,212,4,4,4,3,4,4,2,4,4,4,4,5,4,4,0,0.0,neutral or dissatisfied
23134,23134,69448,Female,Loyal Customer,23,Personal Travel,Eco,1096,4,4,4,3,3,4,3,3,4,5,4,3,3,3,0,0.0,satisfied
31511,31511,1967,Female,Loyal Customer,51,Business travel,Business,295,2,4,4,4,2,3,4,2,2,2,2,4,2,1,0,0.0,neutral or dissatisfied
76528,76528,69355,Male,Loyal Customer,23,Business travel,Business,3991,1,1,1,1,3,4,3,3,5,3,5,5,4,3,0,0.0,satisfied
38570,38570,86396,Female,Loyal Customer,58,Business travel,Business,3553,1,1,1,1,4,5,4,5,5,5,5,3,5,5,0,0.0,satisfied
100192,100192,8241,Female,Loyal Customer,62,Personal Travel,Eco,402,3,4,3,3,4,4,5,4,4,3,4,4,4,4,0,0.0,neutral or dissatisfied
65386,65386,124568,Female,Loyal Customer,56,Personal Travel,Eco,453,1,4,1,3,5,5,4,4,4,1,5,5,4,4,0,0.0,neutral or dissatisfied
26030,26030,53998,Female,Loyal Customer,17,Personal Travel,Eco,1825,3,5,3,2,5,3,5,5,4,5,4,3,4,5,0,1.0,neutral or dissatisfied
51054,51054,99349,Male,disloyal Customer,25,Business travel,Eco,1771,3,3,3,4,3,3,3,3,4,5,3,4,3,3,0,0.0,neutral or dissatisfied
47201,47201,76712,Female,Loyal Customer,30,Business travel,Business,1736,4,4,4,4,4,4,4,4,4,4,5,5,4,4,3,0.0,satisfied
36645,36645,2255,Female,Loyal Customer,51,Business travel,Business,3637,5,5,5,5,5,5,5,3,3,3,3,3,3,4,0,0.0,satisfied
36034,36034,78217,Male,Loyal Customer,32,Personal Travel,Eco,259,1,5,1,4,1,3,3,2,4,1,4,3,4,3,148,144.0,neutral or dissatisfied
22281,22281,125088,Female,Loyal Customer,60,Business travel,Business,2162,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,1.0,satisfied
86766,86766,112113,Female,disloyal Customer,35,Business travel,Eco,1024,3,3,3,3,2,3,2,2,1,1,3,3,4,2,24,15.0,neutral or dissatisfied
47810,47810,66416,Male,Loyal Customer,40,Personal Travel,Eco,1562,3,1,3,4,3,3,3,3,3,3,4,3,4,3,0,0.0,neutral or dissatisfied
10779,10779,7628,Female,Loyal Customer,43,Business travel,Business,641,3,3,3,3,3,5,5,4,4,4,4,4,4,4,15,5.0,satisfied
96947,96947,87351,Male,Loyal Customer,39,Business travel,Business,425,4,4,3,4,5,4,4,3,3,3,3,3,3,4,0,0.0,satisfied
30066,30066,52807,Male,disloyal Customer,46,Business travel,Eco,1312,3,3,3,3,4,3,4,4,4,2,5,3,4,4,1,0.0,neutral or dissatisfied
73498,73498,124120,Female,Loyal Customer,39,Business travel,Business,1798,2,2,2,2,2,2,2,4,1,4,3,2,2,2,189,174.0,neutral or dissatisfied
81124,81124,50389,Male,Loyal Customer,23,Business travel,Business,3025,3,1,1,1,3,3,3,3,4,1,3,1,4,3,59,52.0,neutral or dissatisfied
50915,50915,97026,Male,Loyal Customer,43,Business travel,Business,794,1,1,1,1,2,4,4,4,4,4,4,5,4,5,0,7.0,satisfied
79286,79286,102215,Female,Loyal Customer,59,Business travel,Business,1635,1,1,1,1,3,5,5,4,4,4,5,5,4,4,8,3.0,satisfied
30791,30791,1201,Female,Loyal Customer,35,Personal Travel,Eco,134,3,0,3,4,4,3,4,4,4,5,5,3,4,4,58,59.0,neutral or dissatisfied
70569,70569,45260,Female,Loyal Customer,31,Personal Travel,Eco,584,3,5,3,1,3,2,2,5,2,4,5,2,5,2,226,233.0,neutral or dissatisfied
11947,11947,71714,Female,Loyal Customer,35,Business travel,Business,3147,5,5,5,5,3,4,4,5,5,5,5,3,5,4,0,0.0,satisfied
63929,63929,67245,Female,Loyal Customer,24,Personal Travel,Eco,1119,2,4,2,3,3,2,2,3,4,5,5,4,4,3,57,54.0,neutral or dissatisfied
94142,94142,64723,Female,Loyal Customer,54,Business travel,Business,2486,1,1,1,1,4,5,4,5,5,5,4,3,5,5,5,0.0,satisfied
88320,88320,59190,Male,Loyal Customer,48,Business travel,Business,1440,1,1,1,1,3,5,4,4,4,4,4,4,4,4,56,46.0,satisfied
99338,99338,79141,Female,disloyal Customer,22,Business travel,Eco Plus,226,3,0,4,3,1,4,1,1,1,3,4,3,5,1,0,0.0,neutral or dissatisfied
84865,84865,34877,Female,Loyal Customer,41,Personal Travel,Eco,2248,5,4,5,3,2,5,2,2,5,5,5,5,4,2,10,0.0,satisfied
3445,3445,105564,Female,Loyal Customer,39,Business travel,Business,2614,4,4,4,4,4,4,5,5,5,5,5,5,5,5,23,17.0,satisfied
38877,38877,59316,Female,Loyal Customer,42,Business travel,Business,2486,3,3,3,3,4,4,4,4,4,4,4,4,4,4,8,0.0,satisfied
97304,97304,50983,Female,Loyal Customer,20,Personal Travel,Eco,337,3,5,3,3,4,3,4,4,3,3,4,5,4,4,0,2.0,neutral or dissatisfied
5477,5477,16055,Female,disloyal Customer,28,Business travel,Eco,744,2,1,1,4,1,1,1,1,1,5,1,2,4,1,0,0.0,neutral or dissatisfied
